name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,variantAssets,variantFacets,stockOnHand
Notebook Lenovo IdeaPad 3,notebook-lenovo-ideapad-3,"Notebook Lenovo IdeaPad 3 con pantalla de 15.6 pulgadas Full HD, procesador Intel Core i5 de undécima generación, 8GB RAM DDR4 y 512GB SSD NVMe. Teclado retroiluminado, conectividad Wi-Fi 6 y batería de hasta 7 horas. Ideal para trabajo y estudio.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800,Categoría:Computadores|Marca:Lenovo|Procesador:Intel Core i5 11a Gen|Memoria:8GB DDR4|Almacenamiento:512GB SSD NVMe|Pantalla:15.6 Full HD|Conectividad:Wi-Fi 6|Autonomía:Hasta 7 horas|Subcategoría:Laptops Productividad,,,LENOVO-IDEAPAD3,549990,Standard Tax,,,8
MacBook Air M2,macbook-air-m2,"Apple MacBook Air con chip M2 de 8 núcleos, pantalla Liquid Retina de 13.6 pulgadas con 500 nits de brillo, 8GB de memoria unificada y 256GB de almacenamiento SSD. Diseño ultraligero de 1.24 kg, silencioso sin ventilador y hasta 18 horas de batería.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800,Categoría:Computadores|Marca:Apple|Procesador:Apple M2|Memoria:8GB unificada|Almacenamiento:256GB SSD|Pantalla:13.6 Liquid Retina|Autonomía:Hasta 18 horas|Peso:1.24 kg|Subcategoría:Laptops Productividad,,,MACBOOK-AIR-M2,1099990,Standard Tax,,,7
MacBook Pro M3 14'',macbook-pro-m3-14,"MacBook Pro con chip M3 Pro de 12 núcleos, pantalla Liquid Retina XDR de 14.2 pulgadas con ProMotion hasta 120Hz, 18GB de memoria unificada y 512GB SSD. Con HDMI, SD card reader y MagSafe 3. Para profesionales creativos.",https://images.unsplash.com/photo-1611186871348-b1ce696e52c9?w=800,Categoría:Computadores|Marca:Apple|Procesador:Apple M3 Pro|Memoria:18GB unificada|Almacenamiento:512GB SSD|Pantalla:14.2 Liquid Retina XDR|Frecuencia:ProMotion 120Hz|Puertos:HDMI + SD + MagSafe 3|Subcategoría:Laptops Gama Alta,,,MACBOOK-PRO-M3,1799990,Standard Tax,,,5
Notebook HP Pavilion 15,notebook-hp-pavilion-15,"Notebook HP Pavilion con procesador AMD Ryzen 7 5700U, pantalla Full HD de 15.6 pulgadas IPS, 16GB RAM DDR4, 512GB SSD y tarjeta gráfica AMD Radeon integrada. Windows 11 incluido. Diseño moderno en aluminio plata.",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800,Categoría:Computadores|Marca:HP|Procesador:AMD Ryzen 7 5700U|Memoria:16GB DDR4|Almacenamiento:512GB SSD|Pantalla:15.6 Full HD IPS|Gráficos:AMD Radeon integrada|Sistema:Windows 11|Subcategoría:Laptops Productividad,,,HP-PAVILION15,599990,Standard Tax,,,9
PC Escritorio Gamer ASUS ROG,pc-escritorio-gamer-asus-rog,"PC Gamer ASUS ROG con procesador Intel Core i7-13700K, 32GB RAM DDR5, RTX 4070 Ti 12GB, SSD NVMe 1TB y fuente 750W 80 Plus Gold. Gabinete con iluminación ARGB y 3 ventiladores incluidos.",https://images.unsplash.com/photo-1587202372775-e229f172b9d7?w=800,Categoría:Computadores|Marca:ASUS|Procesador:Intel Core i7-13700K|Memoria:32GB DDR5|Gráficos:NVIDIA RTX 4070 Ti 12GB|Almacenamiento:1TB SSD NVMe|Fuente:750W 80 Plus Gold|Extras:Iluminación ARGB|Subcategoría:Laptops Gama Alta,,,ASUS-ROG-PC,2499990,Standard Tax,,,6
Monitor LG UltraWide 34'',monitor-lg-ultrawide-34,"Monitor LG UltraWide de 34 pulgadas con resolución WQHD 3440x1440, panel IPS curvo 1800R, 144Hz, 1ms GtG, HDR10, AMD FreeSync Premium. Perfecto para multitarea, gaming y contenido creativo.",https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=800,Categoría:Monitores|Marca:LG|Pantalla:34 pulgadas|Resolución:WQHD 3440x1440|Panel:IPS|Curvatura:1800R|Frecuencia:144Hz|Respuesta:1ms GtG|HDR:HDR10,,,LG-UW34,499990,Standard Tax,,,8
Monitor Samsung 27'' Curvo,monitor-samsung-27-curvo,"Monitor curvo Samsung de 27 pulgadas, resolución Full HD 1080p, panel VA, 75Hz, tiempo de respuesta 4ms, AMD FreeSync, flicker free y Eye Saver Mode. Conector HDMI y DisplayPort incluidos.",https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=800,Categoría:Monitores|Marca:Samsung|Pantalla:27 pulgadas|Resolución:Full HD|Panel:VA|Curvatura:Diseño curvo|Frecuencia:75Hz|Respuesta:4ms|Extras:Eye Saver Mode,,,SAMSUNG-MON27C,229990,Standard Tax,,,10
Teclado Mecánico Redragon Kumara,teclado-mecanico-redragon-kumara,"Teclado mecánico compacto TKL con switches red (lineales), retroiluminación RGB personalizable, construcción en aluminio y plástico ABS. Layout en español latinoamericano con Ñ. Compatible con Windows y Mac.",https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=800,Categoría:Periféricos|Marca:Redragon|Formato:TKL|Switches:Red lineales|Conectividad:USB cableado|Layout:Español LATAM|Iluminación:RGB,,,REDRAGON-KUMARA,39990,Standard Tax,,,35
Teclado Mecánico Keychron K2,teclado-mecanico-keychron-k2,"Teclado mecánico inalámbrico 75% con switches Gateron Brown, retroiluminación RGB, batería de 4000mAh, conexión Bluetooth 5.1 para 3 dispositivos o USB-C. Compatible con Mac y Windows. Aluminio anodizado.",https://images.unsplash.com/photo-1616348436168-de43ad0db179?w=800,Categoría:Periféricos|Marca:Keychron|Formato:75%|Switches:Gateron Brown|Conectividad:Bluetooth 5.1 + USB-C|Batería:4000mAh|Compatibilidad:Mac y Windows|Iluminación:RGB,,,KEYCHRON-K2,129990,Standard Tax,,,28
Mouse Logitech G502 Hero,mouse-logitech-g502-hero,"Mouse gaming Logitech G502 HERO con sensor óptico HERO 25K de 25.600 DPI, 11 botones programables, pesas ajustables de 18g, cable ultraligero y software G HUB para personalización completa.",https://images.unsplash.com/photo-1527814050087-3793815479db?w=800,Categoría:Periféricos|Marca:Logitech|Sensor:HERO 25K|DPI:25600|Botones:11 programables|Conectividad:USB cableado|Ajuste:Pesas de 18g,,,LOGI-G502,49990,Standard Tax,,,40
Mouse Logitech MX Master 3S,mouse-logitech-mx-master-3s,"Mouse inalámbrico premium MX Master 3S con rueda MagSpeed electromagnética, botón silencioso, 8.000 DPI, batería de 70 días, sensor Darkfield para cualquier superficie. Conexión USB-C o Bluetooth.",https://images.unsplash.com/photo-1527814050087-3793815479db?w=800,Categoría:Periféricos|Marca:Logitech|Sensor:Darkfield|DPI:8000|Conectividad:Bluetooth + USB-C|Autonomía:Hasta 70 días|Uso:Productividad premium,,,LOGI-MX3S,99990,Standard Tax,,,32
Audífonos Sony WH-1000XM5,audifonos-sony-wh-1000xm5,"Audífonos inalámbricos over-ear con cancelación de ruido líder en la industria, 30 horas de batería, audio de alta resolución Hi-Res, 8 micrófonos, llamadas nítidas y carga rápida (3 min = 3 horas).",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,Categoría:Audio|Marca:Sony|Formato:Over-ear|Cancelación de ruido:Sí|Autonomía:Hasta 30 horas|Audio:Hi-Res|Micrófonos:8|Subcategoría:Over-Ear,,,SONY-WH1000XM5,329990,Standard Tax,,,15
Audífonos Apple AirPods Pro 2,audifonos-airpods-pro-2,"AirPods Pro de segunda generación con cancelación activa de ruido mejorada, audio espacial personalizado, chip H2, hasta 6 horas de batería (30 con el estuche MagSafe), resistente al agua IPX4.",https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=800,Categoría:Audio|Marca:Apple|Formato:In-ear|Cancelación de ruido:Activa|Autonomía:6 horas + estuche|Audio:Espacial personalizado|Protección:IPX4|Subcategoría:In-Ear,,,APPLE-APP2,279990,Standard Tax,,,18
Audífonos Jabra Evolve2 75,audifonos-jabra-evolve2-75,"Audífonos inalámbricos profesionales para trabajo remoto con 8 micrófonos beamforming, cancelación de ruido de primer nivel, 36 horas de batería y certificación UC. Ideales para videollamadas y concentración.",https://images.unsplash.com/photo-1484704849700-f032a568e944?w=800,Categoría:Audio|Marca:Jabra|Formato:Over-ear|Cancelación de ruido:Sí|Autonomía:Hasta 36 horas|Micrófonos:8 beamforming|Uso:Trabajo híbrido|Subcategoría:Over-Ear,,,JABRA-EV275,399990,Standard Tax,,,12
Parlante JBL Charge 5,parlante-jbl-charge-5,"Parlante portátil Bluetooth 5.1 con sonido potente y graves profundos, batería de 20 horas, resistente al agua y polvo IP67, función powerbank y PartyBoost para conectar múltiples parlantes.",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800,Categoría:Audio|Marca:JBL|Conectividad:Bluetooth 5.1|Autonomía:Hasta 20 horas|Protección:IP67|Extras:Powerbank + PartyBoost,,,JBL-CHARGE5,119990,Standard Tax,,,20
Parlante Sonos Era 300,parlante-sonos-era-300,"Parlante inteligente Sonos con audio espacial Dolby Atmos, compatible con Apple Music Spatial Audio, Spotify y más de 100 servicios de streaming. Control por app, voz o AirPlay 2.",https://images.unsplash.com/photo-1545454675-3531b543be5d?w=800,Categoría:Audio|Marca:Sonos|Formato:Parlante inteligente|Audio:Dolby Atmos espacial|Conectividad:Wi-Fi + Bluetooth + AirPlay 2|Control:App + voz|Ecosistema:Sonos y streaming,,,SONOS-ERA300,599990,Standard Tax,,,10
Smartphone Samsung Galaxy S24,smartphone-samsung-galaxy-s24,"Samsung Galaxy S24 con pantalla Dynamic AMOLED 2X de 6.2 pulgadas 120Hz, cámara triple 50MP+12MP+10MP con IA, procesador Snapdragon 8 Gen 3, 8GB RAM, 256GB almacenamiento y batería de 4000mAh.",https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=800,Categoría:Smartphones|Marca:Samsung|Pantalla:6.2 Dynamic AMOLED 120Hz|Procesador:Snapdragon 8 Gen 3|Memoria:8GB RAM|Almacenamiento:256GB|Cámara:50MP + 12MP + 10MP|Batería:4000mAh|Subcategoría:Smartphones Gama Media,,,SAMSUNG-S24,799990,Standard Tax,,,15
Samsung Galaxy S24 Ultra,samsung-galaxy-s24-ultra,"Galaxy S24 Ultra con pantalla QHD+ de 6.8 pulgadas 120Hz, cámara de 200MP con zoom óptico 5x, S Pen integrado, Snapdragon 8 Gen 3, 12GB RAM y 512GB de almacenamiento. El flagship definitivo.",https://images.unsplash.com/photo-1610945264803-c22b62d2a7b3?w=800,Categoría:Smartphones|Marca:Samsung|Pantalla:6.8 QHD+ 120Hz|Procesador:Snapdragon 8 Gen 3|Memoria:12GB RAM|Almacenamiento:512GB|Cámara:200MP con zoom 5x|Extras:S Pen integrado|Subcategoría:Smartphones Alta Gama,,,SAMSUNG-S24U,1199990,Standard Tax,,,12
iPhone 15,iphone-15,"Apple iPhone 15 con pantalla Super Retina XDR de 6.1 pulgadas OLED, chip A16 Bionic de 6 núcleos, sistema de cámara dual 48MP+12MP, Dynamic Island, conector USB-C y carga inalámbrica MagSafe.",https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800,Categoría:Smartphones|Marca:Apple|Pantalla:6.1 Super Retina XDR|Procesador:Apple A16 Bionic|Almacenamiento:128GB|Cámara:48MP + 12MP|Conectividad:USB-C + MagSafe|Subcategoría:Smartphones Gama Media,,,APPLE-IP15,899990,Standard Tax,,,18
iPhone 15 Pro Max,iphone-15-pro-max,"iPhone 15 Pro Max con pantalla Super Retina XDR de 6.7 pulgadas ProMotion 120Hz, chip A17 Pro, sistema de cámara de 48MP con zoom óptico 5x, titanio aeroespacial, Action Button y USB-C 3.",https://images.unsplash.com/photo-1678685888221-cda773a3dcdb?w=800,Categoría:Smartphones|Marca:Apple|Pantalla:6.7 ProMotion 120Hz|Procesador:Apple A17 Pro|Almacenamiento:256GB|Cámara:48MP con zoom 5x|Material:Titanio aeroespacial|Conectividad:USB-C 3|Subcategoría:Smartphones Alta Gama,,,APPLE-IP15PM,1399990,Standard Tax,,,10
Xiaomi 14,xiaomi-14,"Xiaomi 14 con pantalla AMOLED de 6.36 pulgadas 120Hz 3000 nits, sistema Leica de triple cámara 50MP, Snapdragon 8 Gen 3, 12GB RAM LPDDR5X, 256GB UFS 4.0 y batería de 4610mAh con carga de 90W.",https://images.unsplash.com/photo-1592899677977-9c10ca588bbd?w=800,Categoría:Smartphones|Marca:Xiaomi|Pantalla:6.36 AMOLED 120Hz|Procesador:Snapdragon 8 Gen 3|Memoria:12GB LPDDR5X|Almacenamiento:256GB UFS 4.0|Cámara:Triple 50MP Leica|Batería:4610mAh 90W|Subcategoría:Smartphones Gama Media,,,XIAOMI-14,799990,Standard Tax,,,14
Tablet iPad Air M2,tablet-ipad-air-m2,"iPad Air con chip M2 de 8 núcleos, pantalla Liquid Retina de 11 pulgadas 500 nits, compatible con Apple Pencil Pro y Magic Keyboard Folio. Wi-Fi 6E, 128GB almacenamiento. Ideal para creativos y estudiantes.",https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=800,Categoría:Tablets|Marca:Apple|Pantalla:11 Liquid Retina|Procesador:Apple M2|Almacenamiento:128GB|Conectividad:Wi-Fi 6E|Compatibilidad:Apple Pencil Pro,,,APPLE-IPADAIR,649990,Standard Tax,,,12
Samsung Galaxy Tab S9,samsung-galaxy-tab-s9,"Galaxy Tab S9 con pantalla Dynamic AMOLED 2X de 11 pulgadas 120Hz, procesador Snapdragon 8 Gen 2, 8GB RAM, 128GB almacenamiento, S Pen incluido, certificación IP68 y DeX mode para productividad.",https://images.unsplash.com/photo-1574944985070-8f3ebc6b79d2?w=800,Categoría:Tablets|Marca:Samsung|Pantalla:11 Dynamic AMOLED 120Hz|Procesador:Snapdragon 8 Gen 2|Memoria:8GB RAM|Almacenamiento:128GB|Accesorios:S Pen incluido|Protección:IP68,,,SAMSUNG-TABS9,699990,Standard Tax,,,15
Consola PlayStation 5 Slim,consola-playstation-5-slim,"PlayStation 5 edición Slim con lector de disco Ultra HD Blu-ray, 1TB SSD personalizado, control DualSense con retroalimentación háptica y gatillos adaptativos. Ray tracing, 4K y hasta 120fps.",https://images.unsplash.com/photo-1607853202273-797f1c22a38e?w=800,Categoría:Gaming|Marca:Sony|Plataforma:PlayStation 5|Almacenamiento:1TB SSD|Resolución:4K|Frecuencia:Hasta 120fps|Extras:DualSense háptico,,,SONY-PS5SLIM,499990,Standard Tax,,,10
Nintendo Switch OLED,nintendo-switch-oled,"Nintendo Switch modelo OLED con pantalla de 7 pulgadas vibrante, dock mejorado con puerto LAN integrado, 64GB de almacenamiento interno, soporte ajustable de mesa y parlantes con sonido enriquecido.",https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?w=800,Categoría:Gaming|Marca:Nintendo|Plataforma:Nintendo Switch|Pantalla:7 OLED|Almacenamiento:64GB|Conectividad:Dock con LAN|Uso:Portátil y sobremesa,,,NINTEN-SWOLED,349990,Standard Tax,,,15
Xbox Series X,xbox-series-x,"Microsoft Xbox Series X con CPU AMD Zen 2 de 8 núcleos, GPU 12 teraflops RDNA 2, 16GB RAM GDDR6, SSD NVMe de 1TB, resolución hasta 8K, 120fps, Quick Resume y retrocompatibilidad total.",https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=800,Categoría:Gaming|Marca:Microsoft|Plataforma:Xbox Series X|Procesador:AMD Zen 2|Memoria:16GB GDDR6|Almacenamiento:1TB SSD NVMe|Resolución:Hasta 8K|Frecuencia:Hasta 120fps,,,MS-XBOX-SX,499990,Standard Tax,,,10
Silla Gamer Cougar Armor,silla-gamer-cougar-armor,"Silla gamer ergonómica con respaldo reclinable hasta 180°, apoyabrazos 4D ajustables en 6 direcciones, soporte lumbar y cervical incluidos, base de acero con ruedas de poliuretano silencioso. Carga máx 120kg.",https://images.unsplash.com/photo-1598550476439-6847785fcea6?w=800,Categoría:Gaming|Marca:Cougar|Ergonomía:Respaldo 180°|Apoyabrazos:4D ajustables|Soporte:Lumbar + cervical|Capacidad:120kg|Base:Acero con ruedas PU,,,COUGAR-ARMOR,189990,Standard Tax,,,12
Smart TV Samsung 55'' 4K,smart-tv-samsung-55-4k,"Smart TV Samsung Crystal UHD de 55 pulgadas con resolución 4K, procesador Crystal 4K, sistema operativo Tizen, HDR10+, AirSlim, PurColor, control remoto solar y compatibilidad con Alexa y Google Assistant.",https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=800,Categoría:Televisores|Marca:Samsung|Pantalla:55 pulgadas|Resolución:4K UHD|Sistema:Tizen|HDR:HDR10+|Diseño:AirSlim|Compatibilidad:Alexa + Google Assistant,,,SAMSUNG-TV55,429990,Standard Tax,,,7
Smart TV LG OLED 65'' C3,smart-tv-lg-oled-65-c3,"Smart TV LG OLED evo C3 de 65 pulgadas con procesador α9 Gen 6, Dolby Vision IQ, Dolby Atmos, 120Hz nativo con ALLM y G-Sync, webOS 23, 4 puertos HDMI 2.1. La mejor calidad de imagen del mercado.",https://images.unsplash.com/photo-1461151304267-38535e780c79?w=800,Categoría:Televisores|Marca:LG|Pantalla:65 pulgadas OLED evo|Resolución:4K|Sistema:webOS 23|HDR:Dolby Vision IQ|Audio:Dolby Atmos|Gaming:120Hz + G-Sync,,,LG-OLED65C3,1499990,Standard Tax,,,5
Smart TV Sony Bravia 50'',smart-tv-sony-bravia-50,"Smart TV Sony BRAVIA X85L de 50 pulgadas con procesador X1, 4K HDR, Triluminos Pro, Google TV integrado, Dolby Atmos, HDMI 2.1 eARC y compatibilidad perfecta con PS5.",https://images.unsplash.com/photo-1615526675159-e248c3021d3f?w=800,Categoría:Televisores|Marca:Sony|Pantalla:50 pulgadas|Resolución:4K HDR|Sistema:Google TV|Color:Triluminos Pro|Audio:Dolby Atmos|Gaming:HDMI 2.1,,,SONY-BRAVIA50,499990,Standard Tax,,,8
Aspiradora Robot Xiaomi S10+,aspiradora-robot-xiaomi-s10,"Robot aspirador y trapeador Xiaomi S10+ con navegación láser LiDAR 3D, succión de 4000Pa, mopa auto-limpiante con agua caliente, mapeo inteligente multidireccional y 180 min de autonomía.",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Categoría:Hogar Inteligente|Marca:Xiaomi|Tipo:Robot aspirador y trapeador|Navegación:LiDAR 3D|Succión:4000Pa|Autonomía:Hasta 180 min|Funciones:Mapeo inteligente,,,XIAOMI-S10,199990,Standard Tax,,,20
Cámara IP Xiaomi 360°,camara-ip-xiaomi-360,"Cámara de seguridad inteligente Xiaomi 360° con resolución 2K, visión nocturna, detección de movimiento con IA, audio bidireccional, compatible con Google Home y Alexa, almacenamiento en nube o microSD.",https://images.unsplash.com/photo-1557862921-37829c790f19?w=800,Categoría:Hogar Inteligente|Marca:Xiaomi|Resolución:2K|Visión nocturna:Sí|IA:Detección de movimiento|Audio:Bidireccional|Compatibilidad:Google Home + Alexa|Almacenamiento:Nube o microSD,,,XIAOMI-CAM360,29990,Standard Tax,,,25
Smartwatch Apple Watch SE 2,smartwatch-apple-watch-se2,"Apple Watch SE segunda generación con pantalla Retina LTPO OLED, chip S8, sensor de frecuencia cardíaca y SpO2, detección de choques, resistente al agua 50m, GPS y hasta 18 horas de batería.",https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=800,Categoría:Wearables|Marca:Apple|Pantalla:Retina LTPO OLED|Chip:Apple S8|Sensores:FC + SpO2 + choques|Resistencia:Agua 50m|Autonomía:Hasta 18 horas|Conectividad:GPS,,,APPLE-WATCHSE2,249990,Standard Tax,,,18
Samsung Galaxy Watch 6,samsung-galaxy-watch-6,"Galaxy Watch 6 de 44mm con sensor BioActive avanzado para ECG, presión arterial y composición corporal, pantalla Super AMOLED de 1.5 pulgadas, Wear OS con One UI Watch 5 y 40 horas de batería.",https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=800,Categoría:Wearables|Marca:Samsung|Pantalla:1.5 Super AMOLED|Sensores:ECG + presión arterial|Sistema:Wear OS|Autonomía:Hasta 40 horas|Funciones:Composición corporal,,,SAMSUNG-GW6,249990,Standard Tax,,,15
Impresora HP LaserJet Pro MFP,impresora-hp-laserjet-pro-mfp,"Impresora multifunción láser HP LaserJet Pro con impresión, copia y escaneo. Velocidad 30ppm, conectividad WiFi y Ethernet, impresión móvil HP Smart, tóner de alta capacidad y bajo costo por página.",https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae?w=800,Categoría:Impresoras|Marca:HP|Tipo:Multifunción láser|Velocidad:30 ppm|Conectividad:Wi-Fi + Ethernet|Funciones:Imprime copia y escanea|Costo por página:Bajo,,,HP-LJPROMFP,249990,Standard Tax,,,6
Disco SSD Samsung 970 EVO 2TB,disco-ssd-samsung-970-evo-2tb,"SSD interno Samsung 970 EVO Plus de 2TB, interfaz NVMe PCIe 3.0, velocidad de lectura hasta 3.500 MB/s y escritura hasta 3.300 MB/s. Formato M.2 2280 para laptop o PC. Con 5 años de garantía Samsung.",https://images.unsplash.com/photo-1597138804456-e7dca7f59d54?w=800,Categoría:Almacenamiento|Marca:Samsung|Capacidad:2TB|Interfaz:NVMe PCIe 3.0|Formato:M.2 2280|Lectura:3500 MB/s|Escritura:3300 MB/s|Garantía:5 años,,,SAMSUNG-970EVO2T,129990,Standard Tax,,,25
Disco Externo WD My Passport 4TB,disco-externo-wd-4tb,"Disco duro externo portátil WD My Passport de 4TB, USB-C con cable USB-A incluido, formato compacto 2.5 pulgadas, software WD Discovery con copia de seguridad automática y contraseña con cifrado AES 256 bits.",https://images.unsplash.com/photo-1531492746076-161ca9bcad58?w=800,Categoría:Almacenamiento|Marca:WD|Capacidad:4TB|Interfaz:USB-C|Formato:2.5 pulgadas|Software:WD Discovery|Seguridad:Cifrado AES 256 bits,,,WD-MP4TB,89990,Standard Tax,,,20
Webcam Logitech Brio 4K,webcam-logitech-brio-4k,"Webcam Logitech Brio Ultra HD 4K con HDR, corrección de iluminación automática RightLight 3, campo visual ajustable 65-90°, zoom 5x y Windows Hello. Compatible con Teams, Zoom y Meet.",https://images.unsplash.com/photo-1587049633312-d628ae50a8ae?w=800,Categoría:Periféricos|Marca:Logitech|Resolución:Ultra HD 4K HDR|Campo visual:65° a 90°|Zoom:5x|Iluminación:RightLight 3|Compatibilidad:Teams + Zoom + Meet|Seguridad:Windows Hello,,,LOGI-BRIO4K,129990,Standard Tax,,,22
Hub USB-C Anker 7 en 1,hub-usbc-anker-7en1,"Hub USB-C Anker 7 en 1 con salida 4K HDMI, puerto USB-C Power Delivery 85W, lector SD y microSD, 2x USB-A 3.0 y 1x USB-C 3.0 para datos. Compatible con MacBook, iPad Pro y notebooks con USB-C.",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800,Categoría:Accesorios|Marca:Anker|Puertos:HDMI 4K + SD + microSD|Datos:2 USB-A + 1 USB-C|Potencia:Power Delivery 85W|Compatibilidad:MacBook + iPad Pro,,,ANKER-HUB7,39990,Standard Tax,,,45
Cargador Portátil Anker 26800mAh,cargador-portatil-anker-26800mah,"Power bank Anker de 26.800mAh con carga rápida USB-C 65W, doble puerto USB-A y USB-C, carga simultánea de 3 dispositivos, indicador LED de 5 niveles y protección PowerIQ para carga inteligente.",https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=800,Categoría:Accesorios|Marca:Anker|Capacidad:26800mAh|Potencia:65W|Puertos:2 USB-A + 1 USB-C|Carga simultánea:3 dispositivos|Tecnología:PowerIQ,,,ANKER-PB26K,49990,Standard Tax,,,50
Soporte Notebook Ergonómico,soporte-notebook-ergonomico,"Soporte de aluminio para notebook ajustable en 6 ángulos (0-60°), compatible con notebooks de 10-16 pulgadas, disipación de calor optimizada, base antideslizante y plegable para transporte. Peso máx 8kg.",https://images.unsplash.com/photo-1593642702821-c8da6771f0c6?w=800,Categoría:Accesorios|Marca:Genérico|Compatibilidad:Notebooks de 10 a 16|Ajuste:6 ángulos|Material:Aluminio|Ventilación:Disipación optimizada|Capacidad:Hasta 8kg,,,SOPORTE-NB-ERG,24990,Standard Tax,,,38
